external relations,freedom and democracy,political system,economy,welfare and quality of life,fabric of society,social groups
0.9998148083686829,7.381563045782968e-05,2.483543175912928e-05,1.1121051102236379e-05,1.7535976439830847e-05,5.36514853592962e-05,4.2411975300638005e-06
3.270940578659065e-05,5.403623799793422e-05,6.042152745067142e-05,0.00015613672439940274,1.0499947165953927e-05,0.9996811151504517,5.116504325997084e-06
0.9999631643295288,1.4994553794167587e-06,2.2370518308889586e-06,1.9858258383465e-05,5.938356025581015e-06,6.108906745794229e-06,1.2538411056084442e-06
0.9999719858169556,5.281956418912159e-06,4.039578925585374e-06,5.588512067333795e-06,2.344354697925155e-06,9.942326869349927e-06,7.128465426831099e-07
0.9998420476913452,8.875087951309979e-05,8.760283890296705e-06,2.4806647616060218e-06,3.926073077309411e-06,5.270716792438179e-05,1.202102112074499e-06
0.9967876672744751,0.002631494076922536,0.0003440596628934145,2.649746420502197e-05,1.8846601960831322e-05,0.00018560422176960856,5.784545919595985e-06
0.9960405826568604,0.003829936496913433,2.895429679483641e-05,1.416254963260144e-05,1.7035825294442475e-05,6.390710041159764e-05,5.509905804501614e-06
0.9999639987945557,1.0989615475409664e-05,4.741219981951872e-06,3.863100118906004e-06,2.4315197606483707e-06,1.3153825420886278e-05,8.426604267697257e-07
0.9999785423278809,2.2788558453612495e-06,2.3799375412636437e-06,5.271795089356601e-06,2.795411091938149e-06,7.917193215689622e-06,8.477565529574349e-07
0.9825004935264587,0.017187664285302162,8.315152081195265e-05,2.16400276258355e-05,3.0125544071779586e-05,0.00016778467397671193,9.19138255994767e-06
0.999977707862854,3.5777529774350114e-06,2.708498641368351e-06,4.3858376557182055e-06,2.3724323909846134e-06,8.48582112666918e-06,7.185312824731227e-07
0.9999731779098511,5.073116881249007e-06,3.825002295343438e-06,3.84187023882987e-06,2.273885229442385e-06,1.1042929145332891e-05,7.887913398008095e-07
0.9999243021011353,3.1356801628135145e-05,1.0114923497894779e-05,5.334472007234581e-06,5.49930564375245e-06,2.2165793780004606e-05,1.2633897767955204e-06
0.9999208450317383,2.0745617803186178e-05,1.4449554328166414e-05,4.3653544707922265e-06,4.1150178731186315e-06,3.3595613786019385e-05,1.7940546968020499e-06
0.999977707862854,2.027637719947961e-06,2.464367071297602e-06,6.218586804607185e-06,3.1725651297165314e-06,7.493826160498429e-06,9.207894322571519e-07
0.9999432563781738,2.3082475308910944e-05,5.787593636341626e-06,4.203358457743889e-06,4.402608283271547e-06,1.7988242689170875e-05,1.2432309404175612e-06
0.9999778270721436,2.494063664926216e-06,3.029362687811954e-06,4.7498569983872585e-06,2.395509000052698e-06,8.718088793102652e-06,8.052489874899038e-07
0.07583731412887573,0.9223721027374268,0.0008017533109523356,6.496478454209864e-05,0.00010236079833703116,0.0007884242222644389,3.3110238291556016e-05
0.9999477863311768,2.486383164068684e-05,4.782431915373309e-06,3.3099336178565864e-06,2.6818618152901763e-06,1.597059417690616e-05,7.045245524750499e-07
0.9999783039093018,2.92365643872472e-06,2.4037899493123405e-06,4.660548256651964e-06,2.698443040571874e-06,8.193680514523294e-06,7.644034667464439e-07
0.9999755620956421,2.45404726229026e-06,2.6060815798700787e-06,6.181182016007369e-06,3.1825888981984463e-06,9.115735338127706e-06,8.052464295360551e-07
0.9999654293060303,1.1080429430876393e-05,4.376587185106473e-06,4.071980129083386e-06,2.627804860821925e-06,1.1548158909135964e-05,8.417580374953104e-07
0.999968409538269,4.914084911433747e-06,4.946206900058314e-06,3.244188519602176e-06,2.066776232823031e-06,1.5695644833613187e-05,7.380817237390147e-07
1.8279796449860441e-06,1.4164780623104889e-05,1.877531030913815e-05,3.3799665288825054e-06,2.5009512683027424e-05,0.9999219179153442,1.4943436326575466e-05
0.9999775886535645,2.6163716029259376e-06,2.955433046736289e-06,4.88465639136848e-06,2.235655074400711e-06,8.86456200532848e-06,8.182908572962333e-07
0.013305636122822762,0.9863845705986023,7.512352021876723e-05,1.0036768799182028e-05,3.57439712388441e-05,0.00018078999710269272,8.066655027505476e-06
