external relations,freedom and democracy,political system,economy,welfare and quality of life,fabric of society,social groups
0.9999771118164062,2.6356967737228842e-06,2.4634282453916967e-06,4.48364153271541e-06,2.5448975975450594e-06,1.001297277980484e-05,7.437408271471213e-07
0.9999539852142334,1.6025343938963488e-05,6.155436039989581e-06,3.720313770827488e-06,3.3046298995031975e-06,1.6049662008299492e-05,7.814437594788615e-07
0.9999725818634033,4.031392109027365e-06,3.644101980171399e-06,3.2064640436146874e-06,2.194896069340757e-06,1.3692731954506598e-05,6.112725827733811e-07
5.963347575743683e-05,0.999845027923584,1.847781823016703e-05,2.6118741516256705e-06,1.527690801594872e-05,5.590763612417504e-05,3.0500220873364015e-06
0.9999353885650635,1.3236855011200532e-05,7.099327376636211e-06,7.622323664691066e-06,4.994448318029754e-06,3.0638620955869555e-05,1.0196212087976164e-06
0.9997541308403015,8.694441930856556e-05,2.7472373403725214e-05,4.952079962095013e-06,5.264574156171875e-06,0.00011816549522336572,2.998822765221121e-06
0.9999740123748779,3.1943272915668786e-06,2.8054134872945724e-06,3.7776894714625087e-06,3.1613847113476368e-06,1.163755587185733e-05,1.3235023743618513e-06
0.9997789263725281,0.00010034372098743916,6.233187741599977e-05,9.481195775151718e-06,8.134545169014018e-06,3.915234628948383e-05,1.6755906244725338e-06
0.9998574256896973,5.2197348850313574e-05,2.5534820451866835e-05,5.446172963274876e-06,5.555772077059373e-06,5.2169376431265846e-05,1.6631860262350529e-06
0.9999666213989258,1.4759181112822262e-06,2.108056605720776e-06,1.580847856530454e-05,6.951152499823365e-06,6.0583943195524625e-06,1.0035574860012275e-06
0.9999473094940186,5.0832236411224585e-06,5.828156190545997e-06,4.833867933484726e-06,5.152638095751172e-06,2.9604534574900754e-05,2.2178680865181377e-06
0.012182621285319328,0.9526718258857727,0.01849525049328804,7.651005580555648e-05,0.00018989208911079913,0.016361499205231667,2.2335880203172565e-05
0.9999529123306274,1.563858131703455e-05,6.060391569917556e-06,3.829592969850637e-06,4.054786586493719e-06,1.659443114476744e-05,8.742169370634656e-07
3.230824222555384e-05,0.999212384223938,0.00013220783148426563,0.0004811107646673918,5.7684337662067264e-05,7.293902308447286e-05,1.1384724530216772e-05
9.865337233350147e-06,2.9019684006925672e-05,0.00017133743676822633,5.593476817011833e-05,2.774065433186479e-05,0.9997009038925171,5.172338660486275e-06
9.088032584259054e-07,2.2629726572631625e-06,7.067003025440499e-05,0.9997896552085876,0.00012962495384272188,2.7916119051951682e-06,4.139655629842309e-06
1.1263568922004197e-05,0.0001303743338212371,0.0005170471267774701,0.9745228886604309,0.02333548106253147,0.0013833963312208652,9.958391456166282e-05
0.0009450591169297695,0.0018611439736559987,0.002946896944195032,0.8080765008926392,0.16123464703559875,0.024324245750904083,0.000611577183008194
0.0005443219561129808,0.0033670784905552864,0.4323052167892456,0.011655038222670555,0.006577956955879927,0.5452831983566284,0.0002671358815860003
0.9817144870758057,0.0015171008417382836,0.0029518723022192717,8.349543350050226e-05,0.0002803207316901535,0.013417165726423264,3.559374817996286e-05
0.9999765157699585,2.214690766777494e-06,2.6736802283267025e-06,5.504514319909504e-06,3.1251274776877835e-06,8.941901796788443e-06,1.0313874554412905e-06
1.1969369779762928e-06,1.9355190943315392e-06,3.818292680080049e-05,0.999950647354126,3.3017397527146386e-06,2.802711378535605e-06,1.923129275382962e-06
0.9997826218605042,7.388565427390859e-05,3.936729262932204e-05,5.3868907343712635e-06,7.706643373239785e-06,8.852523023961112e-05,2.5121707949438132e-06
0.9978474378585815,3.081979230046272e-05,0.0009027536143548787,2.4063214368652552e-05,8.126409375108778e-05,0.001062425784766674,5.1258983148727566e-05
0.9999308586120605,2.9316536256374093e-06,5.740960659750272e-06,3.866807674057782e-05,7.675291271880269e-06,1.1478828128019813e-05,2.6751981749839615e-06
0.9997573494911194,5.145052637089975e-05,7.570582965854555e-05,3.054386979783885e-05,1.585416066518519e-05,6.441118603106588e-05,4.7027501750562806e-06
0.9999756813049316,2.5678934889583616e-06,2.1758623915957287e-06,4.841543614020338e-06,3.530331923684571e-06,1.0341369488742203e-05,8.273619869214599e-07
6.663140993623529e-06,9.918989007928758e-07,8.792436346993782e-06,0.9998760223388672,5.883090125280432e-06,9.856095857685432e-05,3.1108622806641506e-06
0.9972689747810364,1.540268749522511e-05,0.0002019420498982072,0.002222757088020444,0.00021415976516436785,6.816652603447437e-05,8.562968105252367e-06
0.9999653100967407,5.313558631314663e-06,5.918242095503956e-06,6.174720510898624e-06,4.2041524466185365e-06,1.1847533642139751e-05,1.2149031363151153e-06
